"Package","Installed","Version","Function","Audit_Date"
"scoringRules",TRUE,"1.1.3","f2pnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","fexp","2026-08-23"
"scoringRules",TRUE,"1.1.3","fgev","2026-08-23"
"scoringRules",TRUE,"1.1.3","fgpd","2026-08-23"
"scoringRules",TRUE,"1.1.3","flapl","2026-08-23"
"scoringRules",TRUE,"1.1.3","fllapl","2026-08-23"
"scoringRules",TRUE,"1.1.3","fllogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","flogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","fmixnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","fnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","ft","2026-08-23"
"scoringRules",TRUE,"1.1.3","get_weight_func","2026-08-23"
"scoringRules",TRUE,"1.1.3","gradcrps_clogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","gradcrps_cnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","gradcrps_ct","2026-08-23"
"scoringRules",TRUE,"1.1.3","gradcrps_logis","2026-08-23"
"scoringRules",TRUE,"1.1.3","gradcrps_norm","2026-08-23"
"scoringRules",TRUE,"1.1.3","gradcrps_t","2026-08-23"
"scoringRules",TRUE,"1.1.3","gradcrps_tlogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","gradcrps_tnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","gradcrps_tt","2026-08-23"
"scoringRules",TRUE,"1.1.3","hesscrps_clogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","hesscrps_cnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","hesscrps_ct","2026-08-23"
"scoringRules",TRUE,"1.1.3","hesscrps_logis","2026-08-23"
"scoringRules",TRUE,"1.1.3","hesscrps_norm","2026-08-23"
"scoringRules",TRUE,"1.1.3","hesscrps_t","2026-08-23"
"scoringRules",TRUE,"1.1.3","hesscrps_tlogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","hesscrps_tnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","hesscrps_tt","2026-08-23"
"scoringRules",TRUE,"1.1.3","ints_quantiles","2026-08-23"
"scoringRules",TRUE,"1.1.3","ints_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_2pexp","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_2pnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_beta","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_binom","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_exp","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_exp2","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_gamma","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_gev","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_gpd","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_hyper","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_lapl","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_llapl","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_llogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_lnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_logis","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_mixnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_nbinom","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_norm","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_pois","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_t","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_tlogis","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_tnorm","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_tt","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs_unif","2026-08-23"
"scoringRules",TRUE,"1.1.3","logs.numeric","2026-08-23"
"scoringRules",TRUE,"1.1.3","mmds_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","owcrps_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","owes_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","owmmds_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","owvs_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","qs_quantiles","2026-08-23"
"scoringRules",TRUE,"1.1.3","qs_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","rps_probs","2026-08-23"
"scoringRules",TRUE,"1.1.3","run_casestudy","2026-08-23"
"scoringRules",TRUE,"1.1.3","run_mcstudy","2026-08-23"
"scoringRules",TRUE,"1.1.3","twcrps_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","twes_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","twmmds_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","twvs_sample","2026-08-23"
"scoringRules",TRUE,"1.1.3","vs_sample","2026-08-23"
"ForeComp",TRUE,"1.0.0","dm.test.bt","2026-08-23"
"ForeComp",TRUE,"1.0.0","dm.test.bt.fb","2026-08-23"
"ForeComp",TRUE,"1.0.0","dm.test.cnr.t","2026-08-23"
"ForeComp",TRUE,"1.0.0","dm.test.cnr.w","2026-08-23"
