"Scenario","P","phi","correlated","heteroskedastic","block_length","Alternative_Means","Kupiec_SD_Multiplier","CRPS_Samples","Test","Rejection_Rate","MC_SE","N_Valid_Draws"
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.9992,0.00126440499840836,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.978,0.00655987804764693,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.982,0.005945754788082,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.868,0.0151377673386798,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",1,0,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.242,0.0191539029965174,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.008,0.0039839678713564,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.4944,0.0223592772691784,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.9932,0.00367525781408598,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.558,0.0222097275985096,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.57,0.0221404606998138,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.496,0.0223599642217961,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.988,0.00486949689393063,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.156,0.0162273842624127,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.014,0.00525433154644813,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.27,0.0198544705293292,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.946,0.0101078187557949,500
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.916,0.0124051602166195,500
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.936,0.0109456840809517,500
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.784,0.0184034779321736,500
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",1,0,500
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.196,0.017752971582245,500
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.01,0.0044497190922574,500
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.4144,0.0220305533294105,500
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.9816,0.006010231276748,500
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.572,0.022127629787214,500
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.596,0.0219446576642243,500
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.496,0.0223599642217961,500
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.998,0.00199799899899875,500
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.878,0.0146366662871024,500
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.01,0.0044497190922574,500
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.2712,0.0198821809668859,500
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.9848,0.00547155553750485,500
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.882,0.0144274737913468,500
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.898,0.0135348439222623,500
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.772,0.0187625158227781,500
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",1,0,500
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.204,0.0180213207063189,500
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.004,0.00282276460230038,500
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.422,0.0220869192057199,500
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.9876,0.00494898777529304,500
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.82,0.0171813852759316,500
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.83,0.016798809481627,500
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.762,0.0190449993436597,500
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.998,0.00199799899899875,500
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.21,0.018215378118502,500
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.008,0.0039839678713564,500
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.4104,0.0219987199627615,500
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.9836,0.00567997183091606,500
