"Scenario","P","phi","correlated","heteroskedastic","block_length","Alternative_Means","Kupiec_SD_Multiplier","CRPS_Samples","Test","Rejection_Rate","MC_SE","N_Valid_Draws","Density_Reference","Density_Design"
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.836,0.0165592270351004,500,,""
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.704,0.0204148965219028,500,,""
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.998,0.00199799899899875,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.214,0.0183414285157945,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.01,0.0044497190922574,500,,""
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.3768,0.0216712602310064,500,,""
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.8232,0.0170611699481601,500,,""
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.56,0.0221990990808186,500,,""
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.61,0.0218128402552258,500,,""
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.516,0.0223492281745925,500,,""
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",1,0,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.3,TRUE,TRUE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.836,0.0165592270351004,500,,"comparative_gaussian_forecasts"
